"","ID","Advertising","Adsplay","Year","Days","Price","Parking","Rating","Cuisine","Table.Turns"
"136",127,263.598,43,2007,6,52,0,7,0,270
"137",81,243.237,10,2003,6,61,0,8,0,110
"138",189,832.869,44,2000,3,64,0,7,1,320
"139",166,169.583,28,2018,5,68,0,7,0,230
"140",8,537.352,22,2002,5,61,0,9,0,210
"141",169,145.585,42,2011,4,64,0,8,1,360
"142",22,957.167,28,2001,3,62,0,6,1,230
"143",51,784.22,36,2011,5,65,0,6,1,250
"144",24,656.137,34,1998,5,64,0,7,0,210
"145",57,856.985,10,2008,5,56,1,6,1,170
"146",147,206.973,14,1994,4,62,0,7,1,100
"147",115,1035.433,12,1989,7,66,1,8,0,190
"148",120,215.994,19,2012,6,62,1,8,0,150
"149",140,799.899,28,2017,7,51,0,7,0,210
"150",122,474.76,22,2003,5,49,0,5,1,180
"151",31,125.628,49,1998,5,54,0,7,1,180
"152",180,26.598,47,2001,4,66,0,8,1,220
"153",121,561.963,35,2001,2,64,1,7,1,210
"154",102,1351.254,37,2016,5,60,0,9,0,290
"155",158,1177.047,23,2007,3,61,1,6,1,230
"156",80,15.313,22,2003,5,63,0,5,1,110
"157",67,275.7,18,1989,5,49,0,6,0,100
"158",99,1132.877,55,2003,4,52,0,7,0,250
"159",123,231.523,16,2005,6,54,0,7,0,140
"160",164,9.104,53,2005,3,48,0,8,1,120
"161",195,700.929,35,2001,4,48,1,9,1,250
"162",151,192.607,9,2016,5,63,0,5,1,110
"163",78,51.229,19,2012,5,68,0,7,1,160
"164",154,42.568,45,2002,5,63,0,7,0,230
"165",35,1163.444,36,2018,2,57,1,6,1,320
"166",191,709.399,16,2008,3,72,0,6,1,100
"167",114,233.291,2,2018,3,63,0,7,0,80
"168",18,196.65,36,1998,5,64,0,8,1,210
"169",131,509.43,32,2000,5,66,0,5,1,220
"170",152,10.652,39,2010,7,54,0,5,1,90
