ID,Advertising,Adsplay,Year,Days,Price,Parking,Rating,Cuisine,Table.Turns
78,51.229,19,2012,5,68,0,7,1,160
79,644.151,47,2002,5,63,0,6,1,200
80,15.313,22,2003,5,63,0,5,1,110
81,243.237,10,2003,6,61,0,8,0,110
82,256.894,1,2015,5,70,0,4,0,70
83,22.464,1,2014,7,64,0,6,0,100
84,45.689,39,2014,5,62,0,6,1,190
85,724.938,8,2015,7,67,0,5,1,70
86,1126.461,38,2015,5,52,0,7,0,360
87,1985.119,35,2015,5,55,1,5,1,360
88,1837.516,40,2010,5,64,0,5,1,300
89,135.986,22,2010,5,64,0,7,0,120
90,237.703,27,2009,5,51,0,8,1,150
91,976.641,31,2013,5,64,0,6,1,220
92,1452.689,19,1999,5,50,0,7,0,280
93,1600,24,2010,5,65,0,9,0,300
94,268.598,1,1990,5,67,0,7,0,140
95,900.889,38,1988,5,65,0,8,1,290
96,982.063,26,2015,5,61,0,6,1,180
97,201.356,11,2012,5,70,1,6,0,140
98,746.024,34,1998,3,67,0,6,1,210
99,1132.877,55,2003,4,52,0,7,0,250
100,1000,5,2011,5,69,0,7,1,250
101,75.896,34,1998,6,62,0,6,1,120
102,1351.254,37,2016,5,60,0,9,0,290
103,202.705,13,1989,7,51,0,8,0,60
104,365.985,23,1992,5,51,0,6,1,140
105,305.268,54,1996,3,64,0,6,1,290
106,263.268,18,2000,5,52,0,7,0,160
107,513.694,2,1993,5,53,0,7,0,100
108,152.609,11,1998,7,61,0,6,1,160
109,35.987,30,1997,5,64,0,8,0,150
110,102.568,22,1990,6,65,1,7,0,140
111,215.368,36,2006,5,54,0,6,1,230
112,426.784,37,2012,5,51,1,8,0,230
113,507.772,9,1988,4,48,0,3,1,30
114,233.291,2,2018,3,63,0,7,0,80
115,1035.433,12,1989,7,66,1,8,0,190
116,102.642,5,2000,5,66,1,9,1,90
117,526.142,14,1998,3,65,0,7,1,120
118,624.538,20,2018,4,62,0,5,0,150
119,912.349,57,1999,5,68,0,6,0,230
120,215.994,19,2012,6,62,1,8,0,150
121,561.963,35,2001,2,64,1,7,1,210
122,474.76,22,2003,5,49,0,5,1,180
123,231.523,16,2005,6,54,0,7,0,140
124,678.596,53,2003,5,66,0,7,0,360
125,70.922,4,2009,5,55,0,6,0,10
126,1567.548,29,2007,5,51,0,6,0,240
127,263.598,43,2007,6,52,0,7,0,270
128,1423.568,26,2005,6,64,0,7,0,290
129,715.678,28,2003,5,56,0,7,1,220
130,777.237,37,2010,5,62,0,8,0,230
131,509.43,32,2000,5,66,0,5,1,220
132,964.11,34,1993,5,54,0,7,0,240
133,583.627,30,1992,5,51,0,7,0,260
134,923.373,15,1990,4,56,0,7,0,170
135,344.392,23,2001,4,60,0,7,0,130
136,1095.578,31,2013,5,63,0,8,1,270
137,100.025,21,2010,7,63,1,5,1,140
138,30.425,28,1989,3,64,0,1,1,60
139,1080.342,18,2016,7,64,1,7,1,210
140,799.899,28,2017,7,51,0,7,0,210
141,1071.752,37,2014,5,57,0,8,0,240
142,893.355,26,2004,7,52,0,6,0,210
143,283.161,30,1991,4,56,0,8,0,200
144,917.017,10,2010,3,67,0,7,1,140
145,234.568,21,1994,5,48,0,7,1,90
146,456.897,18,1999,4,65,0,9,0,120
147,206.973,14,1994,4,62,0,7,1,100
148,1294.099,38,1989,5,50,0,7,1,360
149,826.859,36,2014,2,60,0,6,0,180
150,564.158,32,2005,3,53,0,7,0,150
151,192.607,9,2016,5,63,0,5,1,110
152,10.652,39,2010,7,54,0,5,1,90
153,45.689,24,2005,7,52,0,7,0,160
154,42.568,45,2002,5,63,0,7,0,230
155,20.456,13,2012,3,55,0,8,1,40
156,635.192,17,2010,3,52,0,6,1,60
157,1002.273,32,2004,4,61,0,7,1,230
158,1177.047,23,2007,3,61,1,6,1,230
159,507.638,0,2015,3,64,1,6,1,120
160,215.689,35,2007,4,56,0,5,1,150
161,526.48,26,2006,3,63,0,6,0,120
162,26.895,19,2017,5,53,0,6,1,60
163,883.877,26,2011,3,63,0,7,1,280
164,9.104,53,2005,3,48,0,8,1,120
165,103.568,29,2016,4,64,0,8,0,230
166,169.583,28,2018,5,68,0,7,0,230
167,429.504,17,2008,5,51,0,6,1,40
168,223.639,26,2015,3,64,0,8,0,140
169,145.585,42,2011,4,64,0,8,1,360
170,985.968,17,2018,5,65,0,6,1,210
171,500.922,36,2004,4,62,0,8,0,260
172,226.652,45,2005,4,62,0,7,1,250
173,1051.168,20,2001,3,63,0,7,0,200
174,68.093,15,2004,3,64,0,7,0,150
175,1547.159,28,2014,4,63,0,8,1,250
176,393.774,27,2017,3,51,0,6,1,100
177,804.282,17,2003,3,65,0,8,1,260
178,801.577,32,2015,4,66,1,8,0,210
179,450.562,46,2018,3,64,0,9,0,290
180,26.598,47,2001,4,66,0,8,1,220
181,179.061,19,2004,3,54,0,1,1,70
182,345.687,22,2016,5,66,0,8,1,110
183,295.84,55,2000,3,66,0,9,1,250
184,2271.86,31,2017,4,53,0,5,0,320
185,1134.575,39,2013,4,57,0,8,0,300
186,601.434,21,2005,4,63,0,6,0,180
187,45.298,36,2016,3,65,0,6,0,180
188,759.518,21,2011,5,62,0,7,0,200
189,832.869,44,2000,3,64,0,7,1,320
190,56.894,27,2000,3,65,0,7,1,140
191,709.399,16,2008,3,72,0,6,1,100
192,56.895,33,2017,3,66,0,6,1,120
193,767.134,33,2013,5,66,0,8,1,230
194,503.172,21,2001,3,64,0,7,1,150
195,700.929,35,2001,4,48,1,9,1,250
196,910.851,26,2015,3,70,1,7,1,190
197,888.569,14,2006,3,50,0,6,1,240
198,800.615,34,2015,5,63,0,6,0,250
199,1500,11,2010,3,65,0,8,0,230
200,785.694,20,2007,3,62,1,9,1,110
